"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
17,1,2,1,30,0.001,1147.74999999991,24.1574983721327,17.9169991564745,17.3458497790212,0.408723592758179
17,2,1,0,30,0.01,1143.74999999991,2.68961278640859,18.1836324522497,23.4832477288961,0.379408597946167
17,3,8,3,30,0.01,1144.87499999991,1.90007931042066,22.5553415226309,18.768886523058,0.378770351409912
17,4,2,1,30,0.001,1145.37499999991,13.4114775335016,44.2162125296765,36.1264215575729,0.416702270507812
17,5,2,1,30,0.01,1145.87499999991,3.7315636259061,21.6883067413359,20.2874778775964,0.387084484100342
34,1,1,0,30,0.01,1136.45161290305,3.47984504978584,17.629618953128,17.39323976979,0.768267393112183
34,2,1,0,30,0.01,1137.22580645144,28.2092372210022,35.8485631497588,34.0868321054202,0.741894483566284
34,3,2,1,30,0.01,1138.38709677402,2.20681877410545,20.1579782247172,19.2886375459881,0.78202486038208
34,4,2,1,30,0.01,1136.96774193531,13.1965187086366,25.7427296694567,26.4489162013594,0.788369655609131
34,5,21,7,30,0.001,1137.87096774176,2.66027825639811,17.6474810351397,17.4973786904117,0.900054693222046
51,1,1,0,30,0.01,1132.49999999974,18.3572604134698,17.2668721175573,17.7416696275217,1.10852956771851
51,2,19,6,30,0.01,1128.76086956496,17.9130352047846,17.3025357050449,18.0863195719237,1.1139349937439
51,3,1,0,30,0.01,1129.80434782583,17.878108657493,29.0277823676348,36.3074398282549,1.13341879844666
51,4,2,1,30,0.01,1129.413043478,20.4254919131882,19.8050044006007,20.0957008420246,1.11358857154846
51,5,1,0,30,0.01,1129.36956521713,16.51818555023,19.1399305014319,19.9657488104127,1.15026903152466
68,1,2,1,30,1e-05,1121.5645161292,10.4917477593188,20.6749630079588,20.5710832121944,1.30696153640747
68,2,47,16,30,0.01,1121.30645161307,27.7839825032403,26.2798548977565,27.3543865619238,1.316969871521
68,3,1,0,30,0.01,1120.91935483888,15.3618272376532,17.3479120616137,17.7524588173468,1.36248660087585
68,4,2,1,30,0.01,1123.79032258081,14.9065041252267,24.5092364722446,24.1539127930145,1.28111886978149
68,5,1,0,30,0.01,1121.30645161307,7.08019803130304,18.016149438638,18.6626031891614,1.35116910934448
85,1,25,8,30,0.001,1113.96103896112,8.33351439860664,19.1175611002096,19.4202561758774,1.33875727653503
85,2,2,1,30,0.001,1114.37662337671,13.3073458743583,20.6043614029497,19.4689031733454,1.37935566902161
85,3,1,0,30,0.01,1115.46753246761,9.62289838984552,17.9766914020004,19.9847300512235,1.43436741828918
85,4,27,9,30,0.01,1115.10389610398,18.9459274005486,19.4488582914348,19.4479283398803,1.34987354278564
85,5,2,1,30,0.01,1114.22077922086,10.0667777929202,18.3631105207385,18.1607647553267,1.36060214042664
