"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"234","958.387211597787","1.47262277122309","22.4170275845083","3.07041109633747","39.0686862493776","1.18641824229728","39.6124303192682","1.36107881990824","10.2313573360443","0.10780710344297"
"468","846.715602095642","7.40475572384365","39.8719004595617","7.85154950276127","38.2592502877946","0.608834079238443","37.311735830686","0.501613726897285","24.1107037862142","0.538490339609477"
"702","733.838945003445","3.01833934744961","36.1748066242971","3.95510935000945","37.1389199870878","1.23378225681177","36.65444843951","1.32088534820206","25.6123394966125","1.01777022647422"
"936","620.882342709729","5.44927540302594","35.1920992574782","0.347249194215384","36.6992680409894","1.33195090751077","35.8597780942862","1.55208458753471","32.8935173352559","0.595383053726156"
"1170","513.718601845922","3.8373837883167","35.1480367447287","1.73117893104065","36.011468075833","0.486853688156959","35.8748956519199","0.46270391444489","51.258722225825","7.02123871662155"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.990994750962585","","","","","","","","",""
"SpearMan's correlation","1","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","-0.530548096692639","","","","","","","","",""
"SpearMan's correlation","0","","","","","","","","",""
